iter	MultiClass
0	1.095234586
1	1.091508733
2	1.086360473
3	1.083097101
4	1.081286384
5	1.079026609
6	1.075788178
7	1.074107058
8	1.071163725
9	1.068220976
10	1.066210033
11	1.063241842
12	1.06097807
13	1.057345762
14	1.054998484
15	1.054022505
16	1.051679566
17	1.049592922
18	1.046484917
19	1.043556882
20	1.039595438
21	1.036080914
22	1.032518956
23	1.030476265
24	1.02790907
25	1.024082211
26	1.022344904
27	1.019426718
28	1.017941957
29	1.015085126
30	1.011858761
31	1.008816124
32	1.007092771
33	1.005940677
34	1.004269457
35	1.002256506
36	0.9999528611
37	0.9970879716
38	0.9960112483
39	0.9945138727
40	0.9925356422
41	0.9917273995
42	0.9910677511
43	0.9894070758
44	0.9864619268
45	0.9846685701
46	0.9835261957
47	0.9822890486
48	0.9797583005
49	0.9779157886
50	0.9755736956
51	0.9731974907
52	0.9702202984
53	0.9680587716
54	0.9660161194
55	0.9634186127
56	0.9617148654
57	0.960095782
58	0.9567133667
59	0.9549733957
60	0.9536085056
61	0.9525417691
62	0.950892743
63	0.9488959813
64	0.9465131119
65	0.9451867227
66	0.9428156442
67	0.9410821529
68	0.9380822324
69	0.9364032658
70	0.9353785074
71	0.9339250508
72	0.9321215231
73	0.9308877376
74	0.9282673156
75	0.9260888402
76	0.9252266825
77	0.9232328498
78	0.9216532135
79	0.9204094462
80	0.9188472472
81	0.9160172877
82	0.9144514192
83	0.9122582874
84	0.9097333816
85	0.9080580416
86	0.9067211452
87	0.9054885245
88	0.9028913619
89	0.9014545883
90	0.9002454392
91	0.8987420555
92	0.8975076711
93	0.8965480408
94	0.8950242614
95	0.8933489481
96	0.8920454966
97	0.8911096829
98	0.8893563103
99	0.8887708498
