iter	Passed	Remaining
0	17	1725
1	32	1593
2	46	1512
3	60	1460
4	74	1418
5	88	1379
6	100	1335
7	114	1317
8	128	1299
9	142	1279
10	156	1263
11	169	1242
12	181	1216
13	197	1211
14	212	1202
15	227	1195
16	241	1180
17	256	1169
18	271	1156
19	284	1136
20	296	1114
21	310	1099
22	324	1085
23	337	1069
24	352	1057
25	366	1043
26	378	1024
27	393	1012
28	407	998
29	422	985
30	437	973
31	451	959
32	465	944
33	477	926
34	491	912
35	505	898
36	518	883
37	532	868
38	545	853
39	558	837
40	588	846
41	602	832
42	615	816
43	629	801
44	643	786
45	655	769
46	673	759
47	688	745
48	703	732
49	718	718
50	734	705
51	751	693
52	768	681
53	797	679
54	819	670
55	844	663
56	867	654
57	895	648
58	915	635
59	935	623
60	958	612
61	977	599
62	995	584
63	1012	569
64	1029	554
65	1045	538
66	1059	522
67	1075	506
68	1090	489
69	1107	474
70	1122	458
71	1137	442
72	1154	427
73	1170	411
74	1185	395
75	1204	380
76	1235	368
77	1252	353
78	1268	337
79	1286	321
80	1302	305
81	1319	289
82	1332	272
83	1344	256
84	1359	239
85	1373	223
86	1389	207
87	1406	191
88	1422	175
89	1436	159
90	1450	143
91	1463	127
92	1476	111
93	1490	95
94	1503	79
95	1517	63
96	1531	47
97	1545	31
98	1558	15
99	1573	0
